cal_month,ls_ret
2016-12-01,0.01083929525862068
2017-01-01,0.029138006111535525
2017-02-01,0.04246034288626173
2017-03-01,0.030580291552197804
2017-04-01,0.008060261834561832
2017-05-01,0.008329981900452489
2017-06-01,-0.014246485464575718
2017-07-01,0.009804769489414694
2017-08-01,0.005974848749528718
2017-09-01,0.00345106756699097
2017-10-01,0.016909390013845626
2017-11-01,0.007775646697966959
2017-12-01,0.0073194401775189405
2018-01-01,0.020674030054644806
2018-02-01,0.04602170473985466
2018-03-01,0.027384283485540332
2018-04-01,-0.018902149373057557
2018-05-01,0.016196189892040413
2018-06-01,0.00031076128064684485
2018-07-01,-0.004214315494997359
2018-08-01,0.004121625261765675
2018-09-01,0.011833410077519377
2018-10-01,0.0005937954161103765
2018-11-01,0.012935485370358005
2018-12-01,0.007855834787305165
2019-01-01,0.022988772837265567
2019-02-01,0.047376013169508055
2019-03-01,0.030354049267399267
2019-04-01,-0.008086903513638461
2019-05-01,0.004744274604072396
2019-06-01,-0.006369245852187025
2019-07-01,0.005315287236048268
2019-08-01,0.014962799208144802
2019-09-01,-0.020254184807692314
2019-10-01,0.002260671327652758
2019-11-01,0.00299980013729529
2019-12-01,-0.0029438337431860664
2020-01-01,0.03927009361135759
2020-02-01,0.02531221962616821
2020-03-01,0.018071707193689474
2020-04-01,-0.022713932372793344
2020-05-01,0.03477370990525408
2020-06-01,0.0031189215225976286
2020-07-01,0.03039454295440892
2020-08-01,-0.01997324608949113
2020-09-01,0.011893488005390834
2020-10-01,0.003372393073593074
2020-11-01,-0.030332993973132133
2020-12-01,0.01243459393731268
2021-01-01,0.00864101114882973
2021-02-01,0.02536428500939849
2021-03-01,0.033115527074235804
2021-04-01,0.01069938630816171
2021-05-01,0.02026389192139738
2021-06-01,-0.014354674124232922
2021-07-01,0.043740477876106194
2021-08-01,0.015208844208456246
2021-09-01,0.0008408243746885896
2021-10-01,0.027082262726244328
2021-11-01,0.033057719205569214
2021-12-01,0.01866103326618318
2022-01-01,0.002142510881979698
2022-02-01,0.0357033187911881
2022-03-01,0.021464229836353016
2022-04-01,0.006993754512436723
2022-05-01,-0.012386496506095749
2022-06-01,0.003794648439403872
2022-07-01,-0.001512439841837701
2022-08-01,-0.04343316256410257
2022-09-01,0.02027746184072482
2022-10-01,-0.001397087858845944
2022-11-01,0.01857797862554112
2022-12-01,0.009870822056277054
2023-01-01,0.0029858139329806133
2023-02-01,0.05237376811256671
2023-03-01,0.06035116898414159
2023-04-01,-0.0034070492083950465
2023-05-01,0.014024435834792142
2023-06-01,-0.021112451462688864
2023-07-01,-0.04278457756940112
2023-08-01,0.017730612731152208
2023-09-01,-0.00810768197767145
2023-10-01,0.007412932615629975
2023-11-01,0.01563855020616059
2023-12-01,-0.0255441486895081
2024-01-01,0.040929521347526046
2024-02-01,0.0840620703469163
2024-03-01,0.025830951870314558
2024-04-01,0.016893365638766533
2024-05-01,-0.008961068037200197
2024-06-01,0.008701993284385711
2024-07-01,-0.019688108068420834
2024-08-01,0.036591609139976985
2024-09-01,-0.0065520962555066075
2024-10-01,0.003589062130418822
2024-11-01,0.013627001720747281
2024-12-01,0.012963761033591703
