event,model,surprise,good_api,bad_api,spread_pp,fiscal_year
FYE,Simple (EW),SUE,1.0689516347257007,1.0501209194065482,1.883071531915248,2016
FYE,Simple (EW),TSUE,1.1302674045104173,1.0233406659886446,10.69267385217727,2016
FYE,Simple (VW),SUE,1.1034043620544887,1.0831190486459332,2.028531340855544,2016
FYE,Simple (VW),TSUE,1.1669674185081806,1.0565194331298895,11.044798537829115,2016
FYE,MM (EW),SUE,0.9995125405141121,1.0079625534793195,-0.8450012965207421,2016
FYE,MM (EW),TSUE,1.0357325786713907,1.0081524555735717,2.7580123097818987,2016
FYE,MM (VW),SUE,1.0454075520018395,1.0631342298506248,-1.7726677848785233,2016
FYE,MM (VW),TSUE,1.0823711741556126,1.0554531116405519,2.691806251506068,2016
FYE,FFC,SUE,0.9984942009880513,1.0003400765247934,-0.1845875536742092,2016
FYE,FFC,TSUE,1.0251719996659499,0.9953731681004984,2.979883156545149,2016
Ann,Simple (EW),SUE,1.0833286441225811,1.0701734913118033,1.3155152810777837,2016
Ann,Simple (EW),TSUE,1.1232511066053577,1.0233163864633947,9.993472014196293,2016
Ann,Simple (VW),SUE,1.134729413124743,1.1192837655486834,1.5445647576059596,2016
Ann,Simple (VW),TSUE,1.177072341001748,1.0717397982444148,10.533254275733327,2016
Ann,MM (EW),SUE,1.0092337614615192,1.0035353445842856,0.5698416877233603,2016
Ann,MM (EW),TSUE,1.0268969413632267,1.0000763752631197,2.682056610010708,2016
Ann,MM (VW),SUE,1.0667627509546227,1.0745356517868176,-0.7772900832194951,2016
Ann,MM (VW),TSUE,1.0852940055176419,1.0589206256553194,2.6373379862322466,2016
Ann,FFC,SUE,1.0098619695993531,1.012388180575203,-0.25262109758499296,2016
Ann,FFC,TSUE,1.0242015315453852,0.9989173495088532,2.5284182036531933,2016
FYE,Simple (EW),SUE,1.0593860882045794,1.0279412479260843,3.1444840278495034,2017
FYE,Simple (EW),TSUE,1.0732568938877387,0.9797066210870634,9.35502728006753,2017
FYE,Simple (VW),SUE,1.0169300717936898,0.985742959585599,3.1187112208090784,2017
FYE,Simple (VW),TSUE,1.030263610124745,0.9396778850125167,9.05857251122284,2017
FYE,MM (EW),SUE,1.0010895018888282,0.9808902187115567,2.0199283177271488,2017
FYE,MM (EW),TSUE,0.9790813759677854,0.9874099490428188,-0.8328573075033319,2017
FYE,MM (VW),SUE,0.94825891971349,0.9337366650295301,1.4522254683959845,2017
FYE,MM (VW),TSUE,0.9310312534270633,0.9371539645917802,-0.6122711164716965,2017
FYE,FFC,SUE,1.0030087373983978,0.9963207271690482,0.6688010229349617,2017
FYE,FFC,TSUE,0.9905776231090425,1.002694414541609,-1.2116791432566498,2017
Ann,Simple (EW),SUE,1.0554570990143601,1.020018156482623,3.5438942531737183,2017
Ann,Simple (EW),TSUE,1.0670116157219522,0.9774770778101382,8.95345379118141,2017
Ann,Simple (VW),SUE,0.9957373376660612,0.9638774715926909,3.1859866073370324,2017
Ann,Simple (VW),TSUE,1.007388890530963,0.9218441941371682,8.55446963937947,2017
Ann,MM (EW),SUE,1.0022036505875078,0.9815456663863416,2.065798420116627,2017
Ann,MM (EW),TSUE,0.9760158962523177,0.9846235197467987,-0.8607623494481076,2017
Ann,MM (VW),SUE,0.9165406091084307,0.9039685151182756,1.257209399015513,2017
Ann,MM (VW),TSUE,0.8980484922183941,0.902709553738762,-0.46610615203679373,2017
Ann,FFC,SUE,0.9869923453984598,0.9814956646019164,0.5496680796543418,2017
Ann,FFC,TSUE,0.9703289569217016,0.9833362569566703,-1.3007300034968639,2017
FYE,Simple (EW),SUE,1.0889894250845595,1.0121004927023463,7.688893238221328,2018
FYE,Simple (EW),TSUE,1.087771748429021,0.9896564028853974,9.811534554362368,2018
FYE,Simple (VW),SUE,1.0102323488044707,0.9380330796821117,7.219926912235897,2018
FYE,Simple (VW),TSUE,1.0090994168530454,0.9172357338031452,9.186368304990022,2018
FYE,MM (EW),SUE,1.0050239820928761,0.9970152448481379,0.8008737244738273,2018
