dep,model,beta_sue,t_stat,p_value,r2_adj,n
Simple(EW),(1) Univariate,0.006182201270158673,5.901548398873531,3.6010574976031184e-09,0.014301282424176609,2290
Simple(EW),"(2) +Size,BM,Mom",0.004235636134612851,4.495582771357381,6.937966236573066e-06,0.17283272612434886,2263
Simple(EW),(3) Full+IndFE,0.0038565098229395695,4.0537857507004285,5.039537456651683e-05,0.24893426365990023,2261
MM(VW),(1) Univariate,0.005398524116083784,4.716782135200701,2.3960402381602515e-06,0.00875381300770428,2290
MM(VW),"(2) +Size,BM,Mom",0.004120479201671694,3.8915079887325095,9.962310837724813e-05,0.13593285203272465,2263
MM(VW),(3) Full+IndFE,0.00423087618339022,3.969209896128621,7.211134122847682e-05,0.2588710102330172,2261
FFC,(1) Univariate,0.0036823758585895917,2.827515842546427,0.00469106942091168,0.0032643330475481402,2290
FFC,"(2) +Size,BM,Mom",0.0029808395881329936,2.4100778009087125,0.015949119016371534,0.1123157853574932,2263
FFC,(3) Full+IndFE,0.0028422902484705687,2.2402130804423113,0.02507709287726809,0.22506262755639683,2261
